time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
4.91809000,1.03707000,0.18540300,-1.13599000,1.77480000,-0.53358000,-4.09104000
4.96192000,1.03714000,0.18568500,-1.13571000,1.77534000,-0.53412100,-4.08955000
4.99193000,1.03721000,0.18596700,-1.13543000,1.77589000,-0.53466200,-4.08806000
5.03406000,1.03729000,0.18624900,-1.13514000,1.77643000,-0.53520300,-4.08657000
5.06406000,1.03736000,0.18653200,-1.13486000,1.77697000,-0.53574400,-4.08508000
5.06406000,1.03743000,0.18681400,-1.13458000,1.77752000,-0.53628500,-4.08359000
5.10732000,1.03751000,0.18709600,-1.13430000,1.77806000,-0.53682600,-4.08211000
5.15277000,1.03758000,0.18737800,-1.13401000,1.77861000,-0.53736700,-4.08062000
5.18277000,1.03765000,0.18766000,-1.13373000,1.77915000,-0.53790800,-4.07913000
5.18277000,1.03772000,0.18794200,-1.13345000,1.77970000,-0.53844900,-4.07764000
5.22618000,1.03780000,0.18822400,-1.13316000,1.78024000,-0.53899000,-4.07615000
5.26765000,1.03787000,0.18850600,-1.13288000,1.78079000,-0.53953100,-4.07466000
5.29765000,1.03794000,0.18878800,-1.13260000,1.78133000,-0.54007200,-4.07318000
5.29765000,1.03801000,0.18907100,-1.13231000,1.78188000,-0.54061400,-4.07169000
5.34020000,1.03809000,0.18935300,-1.13203000,1.78242000,-0.54115500,-4.07020000
5.37020000,1.03816000,0.18963500,-1.13175000,1.78296000,-0.54169600,-4.06871000
5.41189000,1.03823000,0.18991700,-1.13146000,1.78351000,-0.54223700,-4.06722000
5.44190000,1.03830000,0.19019900,-1.13118000,1.78405000,-0.54277800,-4.06573000
5.48382000,1.03838000,0.19048100,-1.13090000,1.78460000,-0.54331900,-4.06425000
5.51382000,1.03845000,0.19076300,-1.13062000,1.78514000,-0.54386000,-4.06276000
5.51382000,1.03852000,0.19104500,-1.13033000,1.78569000,-0.54440100,-4.06127000
5.55590000,1.03860000,0.19132700,-1.13005000,1.78623000,-0.54494200,-4.05978000
5.58591000,1.03867000,0.19161000,-1.12977000,1.78678000,-0.54548300,-4.05829000
5.62804000,1.03874000,0.19189200,-1.12948000,1.78732000,-0.54602400,-4.05680000
5.65804000,1.03881000,0.19217400,-1.12920000,1.78786000,-0.54656500,-4.05532000
5.65804000,1.03889000,0.19245600,-1.12892000,1.78841000,-0.54710600,-4.05383000
5.71577000,1.03896000,0.19273800,-1.12863000,1.78895000,-0.54764700,-4.05234000
5.74577000,1.03903000,0.19302000,-1.12835000,1.78950000,-0.54818800,-4.05085000
5.74577000,1.03910000,0.19330200,-1.12807000,1.79004000,-0.54873000,-4.04936000
5.78903000,1.03918000,0.19358400,-1.12779000,1.79059000,-0.54927100,-4.04787000
5.81903000,1.03925000,0.19386600,-1.12750000,1.79113000,-0.54981200,-4.04638000
5.86287000,1.03932000,0.19414900,-1.12722000,1.79168000,-0.55035300,-4.04490000
5.89287000,1.03939000,0.19443100,-1.12694000,1.79222000,-0.55089400,-4.04341000
5.89287000,1.03947000,0.19471300,-1.12665000,1.79277000,-0.55143500,-4.04192000
5.93756000,1.03954000,0.19499500,-1.12637000,1.79331000,-0.55197600,-4.04043000
5.96756000,1.03961000,0.19527700,-1.12609000,1.79385000,-0.55251700,-4.03894000
6.01082000,1.03968000,0.19555900,-1.12580000,1.79440000,-0.55305800,-4.03745000
6.04082000,1.03976000,0.19584100,-1.12552000,1.79494000,-0.55359900,-4.03597000
6.08457000,1.03983000,0.19612300,-1.12524000,1.79549000,-0.55414000,-4.03448000
6.11457000,1.03990000,0.19640500,-1.12496000,1.79603000,-0.55468100,-4.03299000
6.11457000,1.03998000,0.19668700,-1.12467000,1.79658000,-0.55522200,-4.03150000
6.15765000,1.04005000,0.19697000,-1.12439000,1.79712000,-0.55576300,-4.03001000
6.20003000,1.04012000,0.19725200,-1.12411000,1.79767000,-0.55630400,-4.02852000
6.23003000,1.04019000,0.19753400,-1.12382000,1.79821000,-0.55684600,-4.02704000
6.23003000,1.04027000,0.19781600,-1.12354000,1.79875000,-0.55738700,-4.02555000
6.27566000,1.04034000,0.19809800,-1.12326000,1.79930000,-0.55792800,-4.02406000
6.31771000,1.04041000,0.19838000,-1.12297000,1.79984000,-0.55846900,-4.02257000
6.34771000,1.04048000,0.19866200,-1.12269000,1.80039000,-0.55901000,-4.02108000
6.34771000,1.04056000,0.19894400,-1.12241000,1.80093000,-0.55955100,-4.01959000
6.38999000,1.04063000,0.19922600,-1.12213000,1.80148000,-0.56009200,-4.01811000
6.41999000,1.04070000,0.19950900,-1.12184000,1.80202000,-0.56063300,-4.01662000
6.46407000,1.04077000,0.19979100,-1.12156000,1.80257000,-0.56117400,-4.01513000
6.49407000,1.04085000,0.20007300,-1.12128000,1.80311000,-0.56171500,-4.01364000
6.49407000,1.04092000,0.20035500,-1.12099000,1.80366000,-0.56225600,-4.01215000
6.53693000,1.04099000,0.20063700,-1.12071000,1.80420000,-0.56279700,-4.01066000
6.56693000,1.04106000,0.20091900,-1.12043000,1.80474000,-0.56333800,-4.00917000
6.60909000,1.04114000,0.20120100,-1.12014000,1.80529000,-0.56387900,-4.00769000
6.63909000,1.04121000,0.20148300,-1.11986000,1.80583000,-0.56442100,-4.00620000
6.63909000,1.04128000,0.20176600,-1.11958000,1.80638000,-0.56496200,-4.00471000
6.63909000,1.04136000,0.20204800,-1.11929000,1.80692000,-0.56550300,-4.00322000
6.71768000,1.04143000,0.20233000,-1.11901000,1.80747000,-0.56604400,-4.00173000
6.74768000,1.04150000,0.20261200,-1.11873000,1.80801000,-0.56658500,-4.00024000
6.79108000,1.04157000,0.20289400,-1.11845000,1.80856000,-0.56712600,-3.99876000
6.82109000,1.04165000,0.20317600,-1.11816000,1.80910000,-0.56766700,-3.99727000
6.86307000,1.04172000,0.20345800,-1.11788000,1.80964000,-0.56820800,-3.99578000
6.89307000,1.04179000,0.20374000,-1.11760000,1.81019000,-0.56874900,-3.99429000
6.89307000,1.04186000,0.20402200,-1.11731000,1.81073000,-0.56929000,-3.99280000
6.94037000,1.04194000,0.20430500,-1.11703000,1.81128000,-0.56983100,-3.99131000
6.98567000,1.04201000,0.20458700,-1.11675000,1.81182000,-0.57037200,-3.98983000
7.01567000,1.04208000,0.20486900,-1.11646000,1.81237000,-0.57091300,-3.98834000
7.01567000,1.04215000,0.20515100,-1.11618000,1.81291000,-0.57145500,-3.98685000
7.05912000,1.04223000,0.20543300,-1.11590000,1.81346000,-0.57199600,-3.98536000
7.08913000,1.04230000,0.20571500,-1.11562000,1.81400000,-0.57253700,-3.98387000
7.13490000,1.04237000,0.20599700,-1.11533000,1.81455000,-0.57307800,-3.98238000
7.16490000,1.04245000,0.20627900,-1.11505000,1.81509000,-0.57361900,-3.98089000
7.16490000,1.04252000,0.20656100,-1.11477000,1.81563000,-0.57416000,-3.97941000
7.20874000,1.04259000,0.20684400,-1.11448000,1.81618000,-0.57470100,-3.97792000
7.25292000,1.04266000,0.20712600,-1.11420000,1.81672000,-0.57524200,-3.97643000
7.28292000,1.04274000,0.20740800,-1.11392000,1.81727000,-0.57578300,-3.97494000
7.28292000,1.04281000,0.20769000,-1.11363000,1.81781000,-0.57632400,-3.97345000
7.32662000,1.04288000,0.20797200,-1.11335000,1.81836000,-0.57686500,-3.97196000
7.37142000,1.04295000,0.20825400,-1.11307000,1.81890000,-0.57740700,-3.97048000
7.40143000,1.04303000,0.20853600,-1.11279000,1.81945000,-0.57794800,-3.96899000
7.40143000,1.04310000,0.20881800,-1.11250000,1.81999000,-0.57848900,-3.96750000
7.44464000,1.04317000,0.20910100,-1.11222000,1.82054000,-0.57903000,-3.96601000
7.47465000,1.04324000,0.20938300,-1.11194000,1.82108000,-0.57957100,-3.96452000
7.51730000,1.04332000,0.20966500,-1.11165000,1.82162000,-0.58011200,-3.96303000
7.54730000,1.04339000,0.20994700,-1.11137000,1.82217000,-0.58065300,-3.96155000
7.54730000,1.04346000,0.21022900,-1.11109000,1.82271000,-0.58119400,-3.96006000
7.59006000,1.04353000,0.21051100,-1.11080000,1.82326000,-0.58173500,-3.95857000
7.62007000,1.04361000,0.21079300,-1.11052000,1.82380000,-0.58227600,-3.95708000
7.66486000,1.04368000,0.21107500,-1.11024000,1.82435000,-0.58281700,-3.95559000
7.69486000,1.04375000,0.21135800,-1.10995000,1.82489000,-0.58335800,-3.95410000
7.69486000,1.04383000,0.21164000,-1.10967000,1.82544000,-0.58390000,-3.95261000
7.73678000,1.04390000,0.21192200,-1.10939000,1.82598000,-0.58444100,-3.95113000
7.76679000,1.04397000,0.21220400,-1.10911000,1.82652000,-0.58498200,-3.94964000
7.80905000,1.04404000,0.21248600,-1.10882000,1.82707000,-0.58552300,-3.94815000
7.83905000,1.04412000,0.21276800,-1.10854000,1.82761000,-0.58606400,-3.94666000
7.88076000,1.04419000,0.21305000,-1.10826000,1.82816000,-0.58660500,-3.94517000
7.91076000,1.04426000,0.21333200,-1.10797000,1.82870000,-0.58714600,-3.94368000
7.91076000,1.04433000,0.21361500,-1.10769000,1.82925000,-0.58768700,-3.94219000
7.95489000,1.04441000,0.21389700,-1.10741000,1.82979000,-0.58822900,-3.94071000
7.98489000,1.04448000,0.21417900,-1.10712000,1.83034000,-0.58877000,-3.93922000
8.03245000,1.04455000,0.21446100,-1.10684000,1.83088000,-0.58931100,-3.93773000
8.06245000,1.04462000,0.21474300,-1.10656000,1.83143000,-0.58985200,-3.93624000
8.06245000,1.04470000,0.21502500,-1.10628000,1.83197000,-0.59039300,-3.93475000
8.10502000,1.04477000,0.21530700,-1.10599000,1.83251000,-0.59093400,-3.93326000
8.13502000,1.04482000,0.21549300,-1.10581000,1.83287000,-0.59129000,-3.93229000
8.17823000,1.04482000,0.21549300,-1.10581000,1.83287000,-0.59129000,-3.93229000
